python-sphinxcontrib-jsmath 1.0.1-19
python-sphinxcontrib-qthelp 2.0.0-3
python-sphinxcontrib-serializinghtml 2.0.0-3
python-starlette 0.47.1-1
python-termcolor 2.5.0-1
python-text-unidecode 1.3-12
python-tqdm 4.67.1-2
python-typing-inspection 0.4.1-1
python-typing_extensions 4.13.2-1
python-urllib3 2.5.0-1
python-urwid 3.0.2-1
python-wcwidth 0.2.13-3
python-webencodings 0.5.1-12
python-wheel 0.45.1-1
python-yaml 6.0.2-2
qbittorrent 5.1.1-1
qhull 2020.2-5
qrencode 4.1.1-4
qt5-base 5.15.17+kde+r123-1
qt5-multimedia 5.15.17+kde+r2-1
qt5-speech 5.15.17+kde+r1-1
qt5-svg 5.15.17+kde+r5-1
qt5-tools 5.15.17+kde+r3-2
qt5-translations 5.15.17-1
qt5-x11extras 5.15.17-1
qt6-5compat 6.9.1-1
qt6-base 6.9.1-2
qt6-declarative 6.9.1-1
qt6-imageformats 6.9.1-1
qt6-multimedia 6.9.1-1
qt6-multimedia-ffmpeg 6.9.1-1
qt6-networkauth 6.9.1-1
qt6-shadertools 6.9.1-1
qt6-svg 6.9.1-1
qt6-translations 6.9.1-1
qt6-wayland 6.9.1-1
quazip-qt6 1.5-1
ranger 1.9.4-4
raptor 2.0.16-7
rasqal 1:0.9.33-7
rate-mirrors 0.20.0-2
rav1e 0.7.1-1
re2 1:20240702-5
readline 8.2.013-2
redland 1:1.0.17-9
rhash 1.4.4-1
rnnoise 1:0.2-1
rog-control-center 6.1.12.r0.g685345d6-1
rsync 3.4.1-2
rtkit 0.13-3
rubberband 4.0.0-1
run-parts 5.22-1
runc 1.3.0-1
rust 1:1.88.0-1
rust-bindgen 0.72.0-1
sbc 2.0-2
scdoc 1.11.3-1
scrot 1.12.1-1
sdbus-cpp 2.1.0-2
sdl2-compat 2.32.56-1
sdl2_image 2.8.8-1
sdl3 3.2.16-1
seatd 0.9.1-1
sed 4.9-3
semver 7.7.2-1
shaderc 2025.2-2
shadow 4.18.0-1
shared-mime-info 2.4-2
simdjson 1:3.13.0-1
slack-electron 4.44.60-1
slack-ozone 1-2
slang 2.3.3-3
slurp 1.5.0-1
snappy 1.2.2-2
sndio 1.10.0-1
sound-theme-freedesktop 0.8-6
spdlog 1.15.3-1
speedometer 2.9-3
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.313.0-1
spotify 1:1.2.63.394-1
sqlite 3.50.1-1
srt 1.5.4-1
startup-notification 0.12-8
steam 1.0.0.82-2
stoken 0.92-5
sudo 1.9.16.p2-2
suitesparse 7.10.3-1
supergfxctl 5.2.7-2
svt-av1 3.0.2-1
swayimg 4.3-1
swaync 0.11.0-1
switcheroo-control 2.6-4
